timestamp,TOYOTA,SHO_MTI,ENEOS,SBI_HD,JT,TAKEDA,TO_DEN,AGC
0,744.0,693.3333129882812,568.0,8333.3330078125,840.0,6760.0,2870.0,4600.0
1,762.0,693.3333129882812,548.0,8333.3330078125,873.0,6580.0,2800.0,4655.0
2,768.0,680.0,531.0,7944.4443359375,776.0,6850.0,2805.0,4600.0
3,734.0,686.6666870117188,510.0,7500.0,792.0,6850.0,2840.0,4540.0
4,680.0,653.3333129882812,509.0,6500.0,795.0,6850.0,2850.0,4540.0
5,688.0,666.6666870117188,543.0,6888.888671875,790.0,6550.0,2735.0,4495.0
6,704.0,663.3333129882812,545.0,7222.22216796875,800.0,6180.0,2620.0,4450.0
7,794.0,673.3333129882812,534.0,7611.111328125,790.0,6230.0,2560.0,4430.0
8,804.0,683.3333129882812,539.0,8722.22265625,799.0,6130.0,2630.0,4390.0
9,790.0,693.3333129882812,526.0,9722.22265625,789.0,6070.0,2560.0,4390.0
10,790.0,700.0,502.0,10277.77734375,805.0,6200.0,2525.0,4580.0
11,778.0,693.3333129882812,510.0,9722.22265625,810.0,6300.0,2610.0,4650.0
12,766.0,686.6666870117188,521.0,9000.0,802.0,6220.0,2625.0,4615.0
13,770.0,680.0,513.0,9500.0,819.0,6220.0,2625.0,4605.0
14,778.0,676.6666870117188,512.0,10444.4443359375,863.0,6070.0,2650.0,4590.0
15,770.0,680.0,529.0,9333.3330078125,848.0,6360.0,2670.0,4500.0
16,780.0,706.6666870117188,543.0,9444.4443359375,840.0,6440.0,2645.0,4535.0
17,792.0,730.0,539.0,9611.111328125,836.0,6200.0,2600.0,4545.0
18,794.0,746.6666870117188,531.0,9333.3330078125,821.0,6180.0,2550.0,4555.0
19,806.0,746.6666870117188,530.0,9333.3330078125,820.0,6300.0,2540.0,4520.0
20,788.0,733.3333129882812,525.0,9166.6669921875,817.0,6350.0,2510.0,4490.0
21,766.0,713.3333129882812,527.0,9111.111328125,813.0,6190.0,2535.0,4480.0
22,770.0,703.3333129882812,521.0,9444.4443359375,830.0,6060.0,2540.0,4355.0
23,778.0,706.6666870117188,527.0,9166.6669921875,818.0,6110.0,2570.0,4265.0
24,778.0,710.0,528.0,9111.111328125,830.0,6080.0,2570.0,4280.0
25,790.0,736.6666870117188,530.0,8888.888671875,806.0,6100.0,2580.0,4240.0
26,800.0,750.0,542.0,8666.6669921875,824.0,6120.0,2570.0,4325.0
27,806.0,740.0,572.0,8833.3330078125,840.0,5780.0,2590.0,4300.0
28,804.0,743.3333129882812,583.0,10500.0,838.0,5900.0,2590.0,4190.0
29,804.0,736.6666870117188,571.0,10111.111328125,838.0,5700.0,2635.0,4100.0
30,794.0,730.0,580.0,9722.22265625,825.0,5700.0,2675.0,4000.0
31,792.0,746.6666870117188,565.0,9722.22265625,827.0,5750.0,2700.0,4025.0
32,790.0,743.3333129882812,572.0,8888.888671875,839.0,5730.0,2695.0,4000.0
33,804.0,746.6666870117188,568.0,8666.6669921875,852.0,5820.0,2810.0,3930.0
34,808.0,763.3333129882812,565.0,8833.3330078125,848.0,5800.0,2760.0,4000.0
35,818.0,786.6666870117188,585.0,8611.111328125,840.0,5730.0,2785.0,3995.0
36,818.0,800.0,579.0,8611.111328125,839.0,5750.0,2795.0,3990.0
37,816.0,816.6666870117188,586.0,8333.3330078125,827.0,5550.0,2785.0,4045.0
38,790.0,830.0,570.0,8000.0,840.0,5510.0,2665.0,3970.0
39,786.0,786.6666870117188,565.0,7888.888671875,800.0,5500.0,2700.0,3955.0
40,796.0,780.0,575.0,7388.888671875,825.0,5480.0,2785.0,4000.0
41,802.0,806.6666870117188,583.0,8111.111328125,835.0,5500.0,2790.0,4095.0
42,810.0,783.3333129882812,566.0,8444.4443359375,827.0,5560.0,2780.0,4185.0
43,814.0,780.0,583.0,8222.22265625,830.0,5750.0,2735.0,4125.0
44,826.0,776.6666870117188,590.0,7722.22216796875,823.0,5840.0,2720.0,4160.0
45,828.0,763.3333129882812,576.0,7444.4443359375,802.0,5580.0,2715.0,3965.0
46,812.0,756.6666870117188,593.0,7000.0,790.0,5630.0,2680.0,3720.0
47,830.0,746.6666870117188,619.0,7777.77783203125,825.0,5850.0,2715.0,4200.0
48,836.0,763.3333129882812,605.0,7611.111328125,797.0,5960.0,2725.0,4040.0
49,872.0,753.3333129882812,623.0,7666.66650390625,791.0,5880.0,2795.0,4080.0
50,930.0,816.6666870117188,635.0,7611.111328125,820.0,6600.0,2945.0,4350.0
51,904.0,770.0,618.0,7833.33349609375,813.0,6130.0,2875.0,4150.0
52,904.0,816.6666870117188,631.0,7666.66650390625,797.0,6400.0,2815.0,4435.0
53,930.0,826.6666870117188,646.0,8000.0,787.0,6500.0,2895.0,4525.0
